match_id,datetime,team1_id,team2_id,team1,team2,t1_score,t2_score,win,format,team1_rank,team2_rank,lan,elim,t1_mu,t1_sigma,t2_mu,t2_sigma,ts_win_prob,t1_elo,t2_elo,elo_win_prob,t1_age,t1_xp,t2_age,t2_xp,t1_mp,t1_wr,t1_ws,t1_rust,t2_mp,t2_wr,t2_ws,t2_rust,h2h_maps,h2h_wr,h2h_rwp,t1_avg_hltv_rating,t1_sd_hltv_rating,t1_avg_fk_pr,t1_sd_fk_pr,t1_avg_cl_pr,t1_sd_cl_pr,t1_avg_pl_rating,t1_sd_pl_rating,t1_avg_pl_adr,t1_sd_pl_adr,t1_avg_plr_kast,t1_sd_plr_kast,t1_avg_pistol_wr,t1_sd_pistol_wr,t2_avg_hltv_rating,t2_sd_hltv_rating,t2_avg_fk_pr,t2_sd_fk_pr,t2_avg_cl_pr,t2_sd_cl_pr,t2_avg_pl_rating,t2_sd_pl_rating,t2_avg_pl_adr,t2_sd_pl_adr,t2_avg_plr_kast,t2_sd_plr_kast,t2_avg_pistol_wr,t2_sd_pistol_wr
2337951,2019-11-20 07:50,10399,9215,evil-geniuses,mibr,0,2,0,3,2,15,1,0,30.22315725,2.449809413,27.90390803,2.727522542,0.772464113,1044.173953,1035.105653,0.513047371,55,22,68,21,21,0.761904762,0,12,24,0.666666667,2,19,0,0,0,1.122857143,0.220333699,14.02040816,3.46109453,1.510204082,1.162728125,1.122693878,0.220275727,75.76367347,8.148027104,72.41918367,8.660050393,0.591836735,0.330019625,1.067391304,0.219479966,13.52173913,4.317502954,1.413043478,1.054515899,1.067,0.219725817,73.85391304,8.26618767,70.35,8.891007426,0.52173913,0.360502695
2337953,2019-11-20 12:45,8120,4494,avangar,mouz,0,2,0,3,9,12,1,0,25.04269402,3.022791627,28.3455481,2.625635488,0.158645769,1028.679315,984.0672588,0.563851378,0,1,23,5,49,0.469387755,1,3,33,0.666666667,0,20,1,0,0.472222222,1.072560976,0.184601159,14.07317073,3.834313904,1.365853659,1.120890272,1.072414634,0.185064982,72.44292683,7.613340744,70.74780488,7.50710152,0.475609756,0.365446928,1.094477612,0.19869938,13.8358209,3.791573591,1.492537313,1.097801525,1.094238806,0.198365116,74.64865672,7.215317226,70.34865672,8.018045486,0.514925373,0.298880364
2337954,2019-11-21 05:00,4863,9215,tyloo,mibr,2,0,1,3,26,15,1,1,26.96943229,4.074458648,28.87640113,2.637681709,0.288260894,1051.901287,1030.165676,0.531239315,156,19,69,22,13,0.538461538,3,1,25,0.68,3,1,0,0,0,1.016538462,0.248084079,12.65384615,4.673512167,1.576923077,1.182340473,1.017,0.248870216,72.40307692,7.685880546,69.03153846,9.901552595,0.596153846,0.39270342,1.0725,0.216337892,13.60416667,4.256072051,1.375,1.053268722,1.072125,0.216597709,74.1325,8.203322117,70.51333333,8.747317049,0.510416667,0.360693535
2337955,2019-11-21 07:35,5995,10399,g2,evil-geniuses,1,2,0,3,13,2,1,1,27.07318145,2.295103854,28.84665642,2.348386811,0.278390351,1004.856944,1034.21667,0.457848244,51,15,56,23,29,0.482758621,0,1,22,0.727272727,0,1,2,0,0.31884058,1.036507937,0.180556096,13.65079365,3.85515005,1.380952381,0.949997016,1.036412698,0.180644757,72.26380952,7.169158687,68.94603175,8.086890536,0.547619048,0.317658668,1.114313725,0.220091379,13.94117647,3.415143695,1.529411765,1.160678321,1.114156863,0.220029532,75.64980392,8.017526265,72.06,8.672820741,0.598039216,0.328687345
2337956,2019-11-21 11:00,4869,4494,ence,mouz,2,1,1,3,14,12,1,1,24.91651521,2.931833233,28.02241607,2.587685024,0.164654142,1006.734169,975.5520131,0.544754628,69,16,24,6,19,0.315789474,1,1,34,0.676470588,1,1,0,0,0,1.032424242,0.226622504,13.24242424,3.172135339,1.636363636,1.321573484,1.03169697,0.225658429,71.41878788,9.0454555,69.56606061,7.570548173,0.484848485,0.336759254,1.094202899,0.19580681,13.88405797,3.747603029,1.463768116,1.097820108,1.093884058,0.195481089,74.53710145,7.151710265,70.42521739,7.913654794,0.507246377,0.300877384
2337958,2019-11-23 07:00,9215,8120,mibr,avangar,2,1,1,3,15,9,1,1,28.36306963,2.614964069,25.36723374,2.049753784,0.838932193,1035.478069,1008.097796,0.53932201,71,23,3,3,26,0.653846154,0,2,48,0.479166667,1,2,1,0,0.36,1.069,0.213187711,13.66,4.183826,1.38,1.037111373,1.06872,0.213349201,73.9164,8.168690167,70.4364,8.583634372,0.5,0.360555128,1.070357143,0.181747119,14.01190476,3.818794523,1.369047619,1.142050807,1.070166667,0.182257591,72.31547619,7.466739169,70.88428571,7.562848463,0.488095238,0.36167756
2337959,2019-11-23 11:00,10399,4494,evil-geniuses,mouz,0,2,0,3,2,12,1,1,29.03770592,2.334878325,27.35315838,2.561120573,0.709147992,1028.795153,980.9995594,0.568352748,58,24,26,7,23,0.739130435,1,2,32,0.65625,0,2,2,0,0.43040293,1.117037037,0.231713661,13.68518519,3.558110579,1.518518519,1.166519685,1.117,0.231522097,75.47222222,8.472393004,72.16666667,9.182928606,0.601851852,0.338564913,1.091044776,0.193761928,13.85074627,3.645703795,1.447761194,1.096583325,1.090716418,0.193094425,74.52895522,6.846889507,70.25701493,7.726104812,0.5,0.299252801
2337960,2019-11-24 07:00,4869,9215,ence,mibr,2,1,1,3,14,15,1,1,25.84186387,2.881436578,28.51436627,2.60031175,0.199921843,1011.286623,1040.084849,0.458650673,72,17,72,24,20,0.35,2,3,27,0.666666667,1,1,2,0.5,0.583333333,1.036944444,0.222121331,13.38888889,3.138274276,1.666666667,1.333333333,1.036444444,0.221310296,71.62611111,8.766203815,69.56111111,7.450139364,0.486111111,0.322449632,1.067169811,0.207894906,13.69811321,4.141756558,1.377358491,1.013613284,1.066641509,0.208117084,73.82113208,7.9550344,70.31622642,8.358988886,0.490566038,0.369734301
2337961,2019-11-24 11:10,4863,4494,tyloo,mouz,1,2,0,3,26,12,1,1,28.19217357,3.986542782,27.89417543,2.535095659,0.535149635,1056.588894,976.6830869,0.613008198,159,20,27,8,11,0.636363636,4,3,33,0.666666667,1,1,0,0,0,1.058333333,0.239976851,12.79166667,4.051534346,1.625,1.218349293,1.059416667,0.240646684,73.22083333,7.512628211,70.51666667,9.685414578,0.645833333,0.367399835,1.095942029,0.193145727,14.01449275,3.724158318,1.52173913,1.174717921,1.095565217,0.192454435,74.77101449,6.903989635,70.54202899,7.793998542,0.507246377,0.300877384
2337962,2019-11-24 15:30,4869,4494,ence,mouz,0,2,0,3,14,12,1,1,25.84186387,2.881436578,27.89417543,2.535095659,0.258254923,1011.286623,976.6830869,0.549634482,72,18,27,9,21,0.380952381,3,0,34,0.676470588,2,0,3,0.666666667,0.555555556,1.038717949,0.213939597,13.41025641,3.224250648,1.666666667,1.307440901,1.03825641,0.213190744,71.66923077,8.442541659,69.76564103,7.308996843,0.487179487,0.309821692,1.089444444,0.193884909,13.91666667,3.839668678,1.555555556,1.188940809,1.089138889,0.193216582,74.46916667,6.960562667,70.35444444,7.756872381,0.506944444,0.294545973
2337982,2019-11-25 17:00,8637,8135,sprout,forze,0,2,0,3,23,18,0,0,26.36596416,2.18386438,27.2311734,1.881099165,0.384035337,1007.886739,1006.252305,0.502352121,75,33,245,107,32,0.46875,0,5,47,0.489361702,0,5,6,0.5,0.513641807,1.050609756,0.210413922,13.51219512,3.914463183,1.670731707,1.473794489,1.050902439,0.210854742,73.17829268,8.533297308,69.71439024,7.942046965,0.5,0.374491525,1.082790698,0.19579089,14.18604651,4.149843449,1.511627907,1.318422119,1.082372093,0.195629339,74.71976744,7.400887121,70.17581395,7.698689781,0.48255814,0.327496444
