match_id,datetime,team1_id,team2_id,team1,team2,t1_score,t2_score,win,format,team1_rank,team2_rank,rank_diff,lan,elim,t1_mu,t1_sigma,t2_mu,t2_sigma,ts_win_prob,t1_elo,t2_elo,elo_win_prob,t1_age,t1_xp,t2_age,t2_xp,t1_mp,t1_wr,t1_ws,t1_rust,t2_mp,t2_wr,t2_ws,t2_rust,h2h_maps,h2h_wr,h2h_rwp,t1_avg_hltv_rating,t1_sd_hltv_rating,t1_avg_fk_pr,t1_sd_fk_pr,t1_avg_cl_pr,t1_sd_cl_pr,t1_avg_pl_rating,t1_sd_pl_rating,t1_avg_pl_adr,t1_sd_pl_adr,t1_avg_plr_kast,t1_sd_plr_kast,t1_avg_pistol_wr,t1_sd_pistol_wr,t2_avg_hltv_rating,t2_sd_hltv_rating,t2_avg_fk_pr,t2_sd_fk_pr,t2_avg_cl_pr,t2_sd_cl_pr,t2_avg_pl_rating,t2_sd_pl_rating,t2_avg_pl_adr,t2_sd_pl_adr,t2_avg_plr_kast,t2_sd_plr_kast,t2_avg_pistol_wr,t2_sd_pistol_wr,0_prob,1_prob,t1_odds,t2_odds
2360840,2022-12-17 15:25,7865,7532,havu,big,2,1,1,3,40,15,25,0,1,27.27881945,2.004696422,27.53031175,1.79713585,0.466277452,1042.702895,1046.493343,0.494545323,16,8,0,1,15,0.533333333,2,2,23,0.47826087,0,27,1,0.0,0.441176471,1.058571429,0.152987261,13.67857143,2.479250627,1.5,1.118033989,1.058285714,0.152838584,72.2,5.882302756,71.52857143,6.599277944,0.517857143,0.389187406,1.062162162,0.198182759,13.32432432,3.353530242,1.567567568,1.197757827,1.062324324,0.198247737,73.35891892,7.719302511,70.20864865,8.347355678,0.486486486,0.376442926,0.5290635987702241,0.4709364012297759,2.123424466582318,1.8901283554492858
2360841,2022-12-17 19:05,7441,7461,eclot,copenhagen-flames,0,2,0,3,52,30,22,0,1,26.02457132,4.955347465,28.37782237,2.048359676,0.260273227,980.1246925,962.2098013,0.525758776,0,1,27,3,23,0.347826087,2,2,21,0.761904762,8,27,3,0.666666667,0.54031746,0.982727273,0.194192543,12.76363636,4.31472589,1.436363636,1.290012493,0.982654545,0.194047812,70.53818182,7.510408073,67.07381818,8.686219701,0.518181818,0.343294683,1.109615385,0.144807054,15.23076923,4.125974871,1.923076923,1.439098995,1.110730769,0.144699704,74.60615385,5.470043648,73.01653846,5.68755554,0.548076923,0.314086211,0.6727665944923519,0.3272334055076481,3.055913385539859,1.4863973951577838
2360842,2022-12-17 23:00,6665,10621,astralis,1win,2,1,1,3,16,43,-27,0,1,28.37444551,1.849945741,27.12879833,1.655806226,0.666564612,1023.982932,1036.511379,0.481977926,13,3,193,37,16,0.5625,0,11,16,0.5625,0,24,0,0.0,0.0,1.001851852,0.178906908,16.0,5.537749242,1.481481481,0.957247999,1.002222222,0.178204488,71.18518519,7.467868143,67.4362963,8.113851051,0.518518519,0.372217616,1.042352941,0.167701745,13.70588235,3.952135772,1.382352941,1.30642543,1.043529412,0.167238511,74.19823529,5.618397024,68.57588235,6.359960746,0.426470588,0.323863464,0.41568184340656844,0.5843181565934316,1.7113934888426028,2.405680234009385
2360843,2022-12-18 15:00,7865,7461,havu,copenhagen-flames,0,2,0,3,40,30,10,0,1,27.58613735,1.981398889,28.68420521,2.02560668,0.356361492,1047.769028,955.0181581,0.630396208,17,9,28,4,16,0.5625,3,1,22,0.772727273,9,1,3,0.333333333,0.456002768,1.062580645,0.149125791,14.0,2.782433375,1.419354839,1.100562717,1.062193548,0.148813245,72.4916129,5.744292593,71.58645161,6.447053615,0.483870968,0.391108247,1.113333333,0.146236744,15.16666667,4.063158778,1.925925926,1.425324549,1.114444444,0.145944518,74.75333333,5.559896082,73.28333333,5.773194443,0.555555556,0.314269681,0.5331491559927553,0.46685084400724475,2.1420071760163846,1.8756442040947063
2360844,2022-12-18 17:15,9806,6665,apeks,astralis,0,2,0,3,54,16,38,0,1,25.87754512,1.675482959,28.55845995,1.834578931,0.177266919,1056.146084,1029.237695,0.538647043,12,8,14,4,7,0.857142857,4,1,17,0.588235294,1,1,0,0.0,0.0,1.185,0.190649475,13.55555556,2.338618353,1.722222222,1.282599598,1.184333333,0.190530546,79.06111111,8.438879526,74.47111111,7.910426937,0.527777778,0.262055031,1.008,0.176189292,15.63333333,5.564670301,1.5,0.957427108,1.008066667,0.175681897,71.452,7.507661154,67.746,7.823803252,0.533333333,0.363623737,0.5839733777527125,0.4160266222472875,2.403686549941625,1.71240389663715
2360845,2022-12-18 20:00,7461,6665,copenhagen-flames,astralis,2,1,1,3,30,16,14,0,1,28.68420521,2.02560668,28.55845995,1.834578931,0.516950634,955.0181581,1029.237695,0.394785109,28,5,14,5,23,0.782608696,10,0,18,0.611111111,2,0,0,0.0,0.0,1.121785714,0.158002115,15.21428571,4.025429372,1.964285714,1.413762529,1.122857143,0.157684068,75.02642857,6.08270629,73.68607143,6.168170509,0.571428571,0.319438282,1.0253125,0.18553949,15.6875,5.393500139,1.59375,1.026504232,1.025625,0.18543492,72.165,7.805339519,68.4125,8.084939316,0.546875,0.361407297,0.4801234729884133,0.5198765270115867,1.9235299624284636,2.082793226047723
2360846,2022-12-14 20:00,7020,10567,spirit,saw,1,2,0,3,11,33,-22,0,0,28.16760721,2.002714595,26.71646646,2.115863886,0.687061831,1108.303204,1010.854365,0.636674778,162,28,158,30,17,0.588235294,2,2,21,0.571428571,1,1,0,0.0,0.0,1.151764706,0.181456049,15.02941176,3.698054291,1.382352941,1.680593486,1.150764706,0.181758738,76.66235294,6.562547505,73.46823529,7.690135955,0.617647059,0.298496811,1.081904762,0.218198665,14.21428571,2.832933145,1.523809524,1.258080458,1.081238095,0.218096507,73.24285714,8.621287686,71.05190476,8.131266005,0.511904762,0.369814871,0.36150834697924883,0.6384916530207512,1.5661887341521215,2.7661802062821947
2360851,2022-12-15 20:00,5347,8637,bluejays,sprout,0,2,0,3,36,19,17,0,1,24.95220505,2.62847766,27.03724308,1.720116535,0.242814296,1085.157298,1038.649499,0.566533185,121,26,121,36,21,0.523809524,0,2,29,0.448275862,1,2,2,1.0,0.63030303,1.064489796,0.181816921,13.24489796,3.365676766,1.795918367,1.324488224,1.064285714,0.181425197,74.23387755,7.387519762,69.61306122,6.738168529,0.520408163,0.377413102,1.057741935,0.196628185,14.30645161,3.88374906,1.967741935,1.523660088,1.058774194,0.196471899,73.77645161,7.531841675,69.54064516,7.917520765,0.516129032,0.38065883,0.5976312507078427,0.4023687492921572,2.4852762956439567,1.6732698056632453
2360890,2022-12-16 20:00,8637,8135,sprout,forze,2,1,1,3,19,46,-27,0,1,27.14711157,1.71545019,27.20734687,1.803726685,0.491651617,1034.259378,975.9812498,0.583091142,122,37,2,3,28,0.5,2,1,20,0.55,0,1,1,1.0,0.527777778,1.071551724,0.198014295,14.29310345,3.709301545,2.0,1.542501327,1.07237931,0.197978911,74.32862069,7.74378604,69.98586207,7.970407344,0.5,0.382820747,1.053695652,0.185699134,14.23913043,3.8402037,1.782608696,1.159329707,1.054,0.18509457,71.54130435,7.609393968,70.86521739,7.482662203,0.467391304,0.36715969,0.4461108458730819,0.5538891541269181,1.8054121246770898,2.2415903304313924
2360892,2022-12-19 17:00,10567,7020,saw,spirit,3,1,1,5,33,11,22,0,1,26.91247964,2.081063288,27.78484783,1.985765558,0.384350372,1001.218674,1101.855849,0.359090423,163,31,167,29,22,0.590909091,2,5,18,0.555555556,0,5,3,0.666666667,0.492063492,1.082444444,0.217420796,14.11111111,3.099980088,1.555555556,1.239274977,1.081822222,0.217455108,73.39066667,8.455993903,71.24844444,7.96878297,0.5,0.365148372,1.141621622,0.192417248,14.75675676,3.808989406,1.432432432,1.636418973,1.140648649,0.19262121,76.43567568,7.334226517,73.01081081,8.24143335,0.621621622,0.294210014,0.5694262099128573,0.43057379008714275,2.3224768914074443,1.7561507117881416
