match_id,datetime,team1_id,team2_id,team1,team2,t1_score,t2_score,win,format,team1_rank,team2_rank,rank_diff,lan,elim,t1_mu,t1_sigma,t2_mu,t2_sigma,ts_win_prob,t1_elo,t2_elo,elo_win_prob,t1_age,t1_xp,t2_age,t2_xp,t1_mp,t1_wr,t1_ws,t1_rust,t2_mp,t2_wr,t2_ws,t2_rust,h2h_maps,h2h_wr,h2h_rwp,t1_avg_hltv_rating,t1_sd_hltv_rating,t1_avg_fk_pr,t1_sd_fk_pr,t1_avg_cl_pr,t1_sd_cl_pr,t1_avg_pl_rating,t1_sd_pl_rating,t1_avg_pl_adr,t1_sd_pl_adr,t1_avg_plr_kast,t1_sd_plr_kast,t1_avg_pistol_wr,t1_sd_pistol_wr,t2_avg_hltv_rating,t2_sd_hltv_rating,t2_avg_fk_pr,t2_sd_fk_pr,t2_avg_cl_pr,t2_sd_cl_pr,t2_avg_pl_rating,t2_sd_pl_rating,t2_avg_pl_adr,t2_sd_pl_adr,t2_avg_plr_kast,t2_sd_plr_kast,t2_avg_pistol_wr,t2_sd_pistol_wr
2357033,2022-06-24 15:00,8135,10577,forze,sinners,2,0,1,3,23,45,-22,0,1,27.59074125,1.82332212,23.86804754,2.735663287,0.884335825,953.2780831,982.0168938,0.458735596,207,45,17,6,19,0.526315789,2,1,22,0.318181818,0,1,0,0.0,0.0,1.065128205,0.208718579,14.1025641,3.835026639,1.256410256,1.427171287,1.064666667,0.209210645,72.54102564,8.79382528,69.62974359,8.796632073,0.525641026,0.319228195,0.9758,0.217752979,12.48,4.196379392,1.14,0.98,0.9752,0.217147323,69.8536,8.557109269,66.328,9.077968936,0.46,0.358329457
2357034,2022-06-24 17:05,10873,10276,enterprise,finest,2,1,1,3,53,19,34,0,1,25.09137915,4.081456479,25.91278477,1.674650521,0.402952329,990.2059746,995.0835763,0.492981028,24,8,57,18,7,0.571428571,0,1,18,0.555555556,0,3,0,0.0,0.0,1.035555556,0.228600141,13.94444444,4.502742648,1.111111111,1.594744455,1.034888889,0.227721294,71.61555556,10.0657694,69.92111111,10.19978098,0.416666667,0.300462606,1.062727273,0.18505974,14.11363636,4.27580885,1.409090909,1.134543998,1.063386364,0.184837301,74.17348485,7.383626916,70.14265152,7.562383936,0.522727273,0.368574426
2357037,2022-06-25 02:00,4773,9943,pain,atk,2,0,1,3,22,43,-21,0,0,26.33438081,2.364288352,25.0419438,2.906026969,0.659444686,1085.176354,1078.440197,0.509692894,115,36,27,4,29,0.620689655,1,1,19,0.473684211,3,1,7,0.857142857,0.615416474,1.083728814,0.235831729,14.3220339,4.35866827,1.322033898,1.294586878,1.083220339,0.236151063,73.82101695,9.561005141,71.43050847,8.994739974,0.491525424,0.385010735,0.976744186,0.211162022,12.79069767,3.92699743,1.418604651,1.224413635,0.977255814,0.211503158,71.11534884,8.864639803,65.03395349,8.687438175,0.430232558,0.382485679
2357048,2022-06-28 14:00,11419,10577,ecstatic,sinners,0,2,0,3,29,46,-17,0,0,26.71209227,1.860758344,24.73440656,2.677040089,0.738735196,986.3097571,995.3662339,0.486969633,76,19,21,8,20,0.65,5,16,24,0.333333333,1,2,5,0.2,0.452459309,1.061851852,0.209576947,14.75925926,4.185226155,1.944444444,1.296957503,1.062444444,0.209879919,72.72296296,8.079785849,71.41,7.307986245,0.453703704,0.337042125,0.970185185,0.222473392,12.44444444,4.112612339,1.12962963,1.000856972,0.969703704,0.221954085,69.56296296,8.721676196,66.01777778,9.58432259,0.481481481,0.372217616
2357049,2022-06-28 17:25,10386,10867,skade,masonic,1,2,0,3,30,64,-34,0,0,27.25631414,1.431152689,24.20664852,4.101531903,0.822351843,992.3548166,988.3162763,0.505811665,155,56,90,15,14,0.428571429,0,7,14,0.571428571,0,11,0,0.0,0.0,1.010333333,0.23774613,12.63333333,4.020641187,1.2,1.107549848,1.009533333,0.238629243,71.384,9.011205469,67.65866667,9.382416083,0.433333333,0.359010987,1.100294118,0.195199525,13.85294118,2.961839184,1.323529412,1.020973821,1.100941176,0.194917319,75.69235294,7.478837618,70.78058824,7.438084012,0.529411765,0.362612588
2357050,2022-06-29 16:20,10276,10873,finest,enterprise,2,0,1,3,23,47,-24,0,0,25.73855002,1.670665018,25.47485408,4.140622798,0.531277601,1000.013387,1006.921138,0.490060256,62,19,29,11,19,0.526315789,0,5,10,0.5,0,3,3,0.333333333,0.432451499,1.051914894,0.188156095,13.89361702,4.342927939,1.340425532,1.135062014,1.052531915,0.187937501,73.68921986,7.546897417,69.82546099,7.627289485,0.5,0.371884219,1.0328,0.213326417,13.84,3.946441435,1.08,1.411949008,1.03232,0.212348152,71.2944,9.174393094,70.1432,9.353486075,0.44,0.326190129
2357052,2022-06-30 14:00,11518,10276,bad-news-eagles,finest,2,1,1,3,21,23,-2,0,1,27.83904689,2.094235278,25.90189181,1.666771651,0.748192665,989.0149007,1005.038038,0.476957186,120,28,63,20,21,0.571428571,0,18,20,0.55,1,1,0,0.0,0.0,1.02825,0.227638831,12.55,3.293554311,1.475,1.139901312,1.02775,0.227567215,73.5765,8.625367108,67.8355,8.716987424,0.525,0.369966215,1.053469388,0.184474444,13.81632653,4.274621212,1.306122449,1.128554821,1.054061224,0.184239685,73.66802721,7.460964292,69.99585034,7.522312887,0.510204082,0.371013448
2357053,2022-06-30 17:00,11501,10867,heet,masonic,2,1,1,3,28,64,-36,0,1,27.18544007,1.660527092,25.85904893,3.984367623,0.656630485,960.4927008,983.374393,0.467118125,156,45,92,16,18,0.555555556,0,7,14,0.571428571,1,2,0,0.0,0.0,1.075714286,0.213699197,13.83333333,3.957612716,1.476190476,1.295378144,1.076095238,0.214885995,74.5047619,7.796351784,69.02619048,8.100013507,0.654761905,0.385574637,1.092,0.195824995,14.14285714,3.432140999,1.4,1.047445873,1.092342857,0.195807769,75.5,7.277252229,70.57028571,7.270877128,0.514285714,0.348173074
2357054,2022-07-01 14:00,11251,11665,eternal-fire,ex-mad-lions,1,2,0,3,22,42,-20,0,1,27.14223441,1.779562536,27.08138209,2.742031718,0.507975285,1053.081174,1008.939722,0.563185053,127,37,24,12,26,0.538461538,0,4,15,0.666666667,2,2,5,0.2,0.417468873,1.055294118,0.187327468,14.17647059,4.689186067,1.490196078,1.12672611,1.055137255,0.187341046,73.13058824,7.749387683,69.97843137,8.530869292,0.558823529,0.352123235,1.085263158,0.219481888,12.97368421,3.842195385,1.684210526,1.258764289,1.085526316,0.219205472,75.29368421,8.127530997,70.32,7.818189318,0.539473684,0.403627938
2357064,2022-06-25 16:00,8135,10873,forze,enterprise,2,0,1,3,23,53,-30,0,1,27.76508936,1.817975035,26.22080862,3.971557355,0.678573081,962.4411582,996.4930098,0.451151755,208,47,25,9,21,0.571428571,4,1,8,0.625,1,1,0,0.0,0.0,1.083255814,0.209858434,14.04651163,3.833472458,1.279069767,1.403079361,1.082976744,0.210466314,73.12651163,8.662385644,70.10093023,8.658405196,0.523255814,0.322661324,1.053809524,0.226746685,14.14285714,4.212065598,1.142857143,1.520830421,1.053238095,0.225685391,71.99047619,9.844243411,70.88095238,9.98141602,0.476190476,0.326459743
