Date,P/L,Cumulative
2023/09/13 19:30,-1,20.72
2023/09/14 12:30,-1,19.72
2023/09/14 16:00,-1,18.72
2023/09/14 19:30,-1,17.72
2023/09/14 19:30,-1,16.72
2023/09/15 19:30,0,16.72
2023/09/15 16:00,-1,15.72
2023/09/16 12:30,-1,14.72
2023/09/16 16:00,-1,13.72
2023/09/16 19:45,0,13.72
2023/09/17 12:30,2.14,15.86
2023/09/17 16:00,0.89,16.75
2023/09/17 19:30,0.7,17.45
2023/09/20 16:00,0,17.45
2023/09/20 16:00,-1,16.45
2023/09/20 21:00,1.27,17.72
2023/09/20 19:30,-1,16.72
2023/09/21 19:30,-1,15.72
2023/09/21 16:00,2.96,18.68
2023/09/21 19:30,0,18.68
2023/09/21 12:30,-1,17.68
2023/09/22 16:00,-1,16.68
2023/09/22 19:30,1.57,18.25
2023/09/23 12:30,1.88,20.13
2023/09/23 17:10,0.67,20.8
2023/09/23 21:20,2.01,22.81
2023/09/24 12:30,-1,21.81
2023/09/24 16:00,-1,20.81
2023/09/24 19:55,1.21,22.02
2023/09/26 15:30,1.1,23.12
2023/09/26 15:30,1.56,24.68
2023/09/26 19:30,3.85,28.53
2023/09/26 19:00,0.57,29.1
2023/09/27 19:50,1.08,30.18
2023/09/27 15:30,0,30.18
2023/09/27 15:30,-1,29.18
2023/09/27 19:00,1.16,30.34
2023/09/28 15:45,4.35,34.69
2023/09/28 19:00,0,34.69
2023/09/29 15:30,-1,33.69
2023/09/29 19:00,1.35,35.04
2023/09/30 15:30,-1,34.04
2023/09/30 19:00,1.05,35.09
2023/10/01 16:00,0.91,36
2023/10/16 03:30,-1,35
2023/10/16 03:30,3.15,38.15
2023/10/16 04:30,1.9,40.05
2023/10/16 04:45,1.87,41.92
2023/10/16 05:55,2.32,44.24
2023/10/16 06:20,1.28,45.52
2023/10/16 07:45,-1,44.52
2023/10/16 07:05,-1,43.52
2023/10/16 09:15,-1,42.52
2023/10/16 10:30,0,42.52
2023/10/16 08:25,-1,41.52
2023/10/16 12:25,-1,40.52
2023/10/17 04:30,0,40.52
2023/10/17 07:30,-1,39.52
2023/10/17 07:30,0.46,39.98
2023/10/17 10:30,-1,38.98
2023/10/17 04:30,-1,37.98
2023/10/17 11:05,-1,36.98
2023/10/18 04:30,1.47,38.45
2023/10/18 04:30,0.98,39.43
2023/10/18 07:30,-1,38.43
2023/10/18 07:30,0,38.43
2023/10/18 11:05,0,38.43
2023/10/18 10:45,0,38.43
2023/10/20 10:30,-1,37.43
2023/10/20 07:30,0.82,38.25
2023/10/21 10:30,-1,37.25
2023/10/21 07:30,2.22,39.47
2023/10/22 09:30,-1,38.47
2023/11/22 11:00,-1,37.47
2023/11/22 13:10,0,37.47
2023/11/22 16:35,-1,36.47
2023/11/22 18:45,0.97,37.44
2023/11/23 11:00,-1,36.44
2023/11/23 13:30,0,36.44
2023/11/23 17:15,1.39,37.83
2023/11/23 19:50,-1,36.83
2023/11/24 16:30,-1,35.83
2023/11/24 19:10,0.84,36.67
2023/11/25 16:30,-1,35.67
2023/11/25 20:55,-1,34.67
2023/11/26 18:00,0,34.67
2023/12/05 12:55,-1,33.67
2023/12/05 16:25,0,33.67
2023/12/06 11:25,0.83,34.5
2023/12/06 16:10,0,34.5
2023/12/06 19:50,0.84,35.34
2023/12/07 15:00,2.17,37.51
2023/12/08 11:55,2.66,40.17
2023/12/07 10:55,-1,39.17
2023/12/07 19:10,1.03,40.2
2023/12/08 15:10,0.54,40.74
2023/12/09 14:50,-1,39.74
2023/12/09 11:55,-1,38.74
2023/12/10 12:55,1,39.74
2023/12/13 08:00,-1,38.74
2023/12/13 10:25,-1,37.74
2023/12/13 12:35,-1,36.74
2023/12/13 15:05,-1,35.74
2023/12/14 08:00,-1,34.74
2023/12/14 11:05,-1,33.74
2023/12/14 13:30,-1,32.74
2023/12/14 15:25,0.49,33.23
2023/12/15 11:00,0,33.23
2023/12/15 13:05,1.55,34.78
2023/12/16 13:30,0,34.78
2023/12/16 16:30,-1,33.78
2023/12/17 16:00,-1,32.78
