,rank,opp_rank,rank_diff,map_playcount,opp_map_playcount,map_winrate,opp_map_winrate,all_maps_winrate,all_maps_playcount,opp_all_maps_winrate,opp_all_maps_playcount,h2h_maps,h2h_wr,opp_h2h_wr,lan,format,win
74,13,20,7,4.0,9.0,0.25,0.5555555555555556,0.4583333333333333,24.0,0.5609756097560976,41.0,5.0,0.8,0.2,True,3,1
75,15,19,4,6.0,1.0,0.5,0.0,0.5862068965517241,29.0,0.5,32.0,1.0,0.0,1.0,True,3,1
76,13,20,7,4.0,6.0,0.5,0.6666666666666666,0.48,25.0,0.5476190476190477,42.0,6.0,0.8333333333333334,0.16666666666666666,True,3,0
77,15,19,4,2.0,5.0,1.0,0.4,0.6,30.0,0.48484848484848486,33.0,2.0,0.5,0.5,True,3,0
78,13,20,7,0.0,2.0,0.0,0.0,0.46153846153846156,26.0,0.5581395348837209,43.0,7.0,0.7142857142857143,0.2857142857142857,True,3,1
79,2,16,14,1.0,3.0,1.0,0.6666666666666666,0.72,25.0,0.4117647058823529,34.0,2.0,1.0,0.0,True,3,1
80,12,6,-6,1.0,5.0,0.0,0.4,0.6666666666666666,9.0,0.4864864864864865,37.0,0.0,0.0,0.0,True,3,0
81,2,16,14,7.0,5.0,0.8571428571428571,0.2,0.7307692307692307,26.0,0.4,35.0,3.0,1.0,0.0,True,3,1
82,12,6,-6,3.0,9.0,0.6666666666666666,0.3333333333333333,0.6,10.0,0.5,38.0,1.0,0.0,1.0,True,3,0
83,3,13,10,5.0,4.0,0.8,1.0,0.6428571428571429,28.0,0.5,26.0,0.0,0.0,0.0,True,3,1
84,7,17,10,2.0,7.0,0.5,0.5714285714285714,0.5625,16.0,0.5185185185185185,27.0,0.0,0.0,0.0,True,3,1
85,3,13,10,4.0,7.0,0.5,0.42857142857142855,0.6551724137931034,29.0,0.48148148148148145,27.0,1.0,1.0,0.0,True,3,1
86,7,17,10,3.0,5.0,0.6666666666666666,0.6,0.5882352941176471,17.0,0.5,28.0,1.0,1.0,0.0,True,3,1
87,11,8,-3,8.0,3.0,0.625,0.0,0.45161290322580644,31.0,0.45454545454545453,11.0,0.0,0.0,0.0,True,3,0
88,11,8,-3,3.0,3.0,0.6666666666666666,0.6666666666666666,0.4375,32.0,0.5,12.0,1.0,0.0,1.0,True,3,1
89,11,8,-3,8.0,1.0,0.375,1.0,0.45454545454545453,33.0,0.46153846153846156,13.0,2.0,0.5,0.5,True,3,1
90,1,19,18,10.0,6.0,0.2,0.5,0.5333333333333333,45.0,0.5,34.0,0.0,0.0,0.0,True,3,1
91,5,10,5,0.0,3.0,0.0,1.0,0.6428571428571429,14.0,0.7368421052631579,19.0,2.0,1.0,0.0,True,3,0
92,1,19,18,7.0,2.0,0.8571428571428571,0.0,0.5434782608695652,46.0,0.4857142857142857,35.0,1.0,1.0,0.0,True,3,0
93,5,10,5,4.0,4.0,0.5,0.5,0.6,15.0,0.75,20.0,3.0,0.6666666666666666,0.3333333333333333,True,3,1
94,1,19,18,8.0,11.0,0.75,0.5454545454545454,0.5319148936170213,47.0,0.5,36.0,2.0,0.5,0.5,True,3,1
95,5,10,5,3.0,7.0,0.6666666666666666,1.0,0.625,16.0,0.7142857142857143,21.0,4.0,0.75,0.25,True,3,0
96,16,13,-3,3.0,8.0,0.6666666666666666,0.375,0.4117647058823529,34.0,0.48148148148148145,27.0,0.0,0.0,0.0,True,3,1
97,2,3,1,6.0,4.0,1.0,0.5,0.7407407407407407,27.0,0.7037037037037037,27.0,5.0,0.6,0.4,True,3,1
98,16,13,-3,8.0,2.0,0.375,0.0,0.42857142857142855,35.0,0.4642857142857143,28.0,1.0,1.0,0.0,True,3,0
99,2,3,1,1.0,6.0,0.0,0.8333333333333334,0.75,28.0,0.6785714285714286,28.0,6.0,0.6666666666666666,0.3333333333333333,True,3,1
100,16,13,-3,4.0,1.0,0.5,1.0,0.4166666666666667,36.0,0.4827586206896552,29.0,2.0,0.5,0.5,True,3,0
101,6,4,-2,10.0,7.0,0.4,0.5714285714285714,0.5,36.0,0.48717948717948717,39.0,6.0,0.3333333333333333,0.6666666666666666,True,3,1
